prisonerId,SSN,firstName,lastName,sex,dob,servSDate,servEDate,addrId,hasVisitorPrivilege
1,473-86-1244,Mona,Ansill,Female,1939-03-08,2008-01-20,2034-09-11,1,1
2,785-88-9957,Britni,Wardingly,Other,1984-08-13,2017-03-07,2037-04-26,2,0
3,346-52-4778,Wilek,Haime,Other,1967-06-07,2007-09-06,2042-05-18,3,0
4,555-19-5193,Antonia,Morilla,Male,1970-06-04,2022-02-19,2039-12-25,4,1
5,122-71-7702,Viviene,Diamond,Male,1931-08-02,2008-03-25,2040-07-04,5,1
6,444-93-9322,Salaidh,Slorance,Female,1987-04-23,2017-09-20,2049-08-15,6,1
7,896-08-7274,Sansone,"Mac Giolla Pheadair",Female,1979-12-15,2013-08-27,2048-09-16,7,1
8,358-42-1954,Kennie,Pasfield,Male,1942-10-14,2014-08-30,2034-02-04,8,0
9,142-21-9720,Carroll,Malmar,Female,1982-10-06,2015-05-05,2036-03-01,9,0
10,617-07-3287,Chrysler,"De Malchar",Female,1981-09-04,2018-06-16,2045-12-08,10,0
11,140-82-7501,Lucilia,Eake,Male,1969-11-10,2016-02-26,2045-06-12,11,0
12,251-15-9024,Kittie,Freemantle,Other,1950-12-31,2009-12-13,2040-07-05,12,0
13,880-15-6811,Lorraine,Killingsworth,Other,1958-09-05,2008-04-13,2043-04-26,13,1
14,760-70-9100,Jerry,Skip,Male,1944-07-14,2009-09-02,2034-02-26,14,0
15,728-11-4480,Carolann,Sifleet,Female,1956-10-27,2020-07-28,2049-06-29,15,0
16,601-26-6526,Mollee,Zanelli,Female,1960-01-03,2011-07-27,2037-05-02,16,0
17,535-59-7104,Colas,Paridge,Male,1938-10-09,2012-11-24,2047-04-19,17,0
18,545-76-4388,Roxie,Wayon,Male,1961-08-18,2011-12-27,2036-06-18,18,1
19,622-25-9244,Cordi,Culpan,Other,1942-10-06,2017-05-04,2042-08-12,19,0
20,618-39-1787,Leontyne,Annott,Other,1964-08-17,2008-07-17,2044-02-28,20,1
21,297-28-1364,Catherine,Shinn,Other,1951-11-07,2020-03-01,2028-09-08,21,0
22,737-32-0022,Ray,Horche,Other,1941-08-19,2015-11-24,2031-10-13,22,1
23,847-50-8712,Kalil,Alfonso,Female,1927-04-23,2021-12-02,2045-03-01,23,1
24,261-57-2667,Piper,Gheraldi,Male,1967-12-17,2006-11-29,2042-10-14,24,1
25,397-72-5150,Kaylyn,Tampling,Male,1930-03-03,2006-05-04,2028-02-03,25,0
26,439-78-2356,Ralph,Shinner,Female,1962-07-04,2009-01-06,2041-04-15,26,1
27,537-23-2804,Peyter,Roper,Other,1959-04-06,2015-10-08,2024-08-04,27,0
28,382-21-2498,Betteann,Kinzett,Other,1967-08-24,2007-02-13,2033-08-14,28,1
